"SSID: CMCC-FREEMM"," BSSID: 0a:08:d2:e0:47:d8"," capabilities: [ESS]"," level: -77"," frequency: 2437"," timestamp: 17811155223"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: 猴子请来的"," BSSID: 14:2d:27:ec:97:17"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -83"," frequency: 2462"," timestamp: 17817435571"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-EDU"," BSSID: 06:08:d2:e0:46:3f"," capabilities: [ESS]"," level: -56"," frequency: 2437"," timestamp: 17817435351"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-FREEMM"," BSSID: 0a:08:d2:e0:46:3f"," capabilities: [ESS]"," level: -56"," frequency: 2437"," timestamp: 17817435331"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: 360WiFi-2567"," BSSID: 00:36:76:61:25:67"," capabilities: [ESS]"," level: -58"," frequency: 2437"," timestamp: 17817435313"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: brave"," BSSID: 12:b9:a5:fd:ce:bd"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -68"," frequency: 2462"," timestamp: 17817435392"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: WiFi305"," BSSID: 08:3e:8e:3a:07:8d"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -81"," frequency: 2462"," timestamp: 17817435461"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: LieBaoWiFi746"," BSSID: 5a:63:bf:32:01:8c"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -52"," frequency: 2462"," timestamp: 17817435301"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-EDU"," BSSID: 06:08:d2:e0:44:3b"," capabilities: [ESS]"," level: -77"," frequency: 2437"," timestamp: 17817435557"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: 讨厌，人家都湿了"," BSSID: 22:24:2c:23:0c:dd"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -77"," frequency: 2462"," timestamp: 17817435407"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CQUPT"," BSSID: ac:67:06:9a:14:b9"," capabilities: [ESS]"," level: -75"," frequency: 2437"," timestamp: 17817435424"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: URMonitored"," BSSID: 22:59:f9:b0:14:4b"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -51"," frequency: 2462"," timestamp: 17817435235"," distance: ?(cm)"," distanceSd: ?(cm)"," status: 16"
"SSID: Airr"," BSSID: e0:ac:cb:71:ea:c2"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -67"," frequency: 2462"," timestamp: 17817435380"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: ChinaNet"," BSSID: ac:67:06:1a:14:b9"," capabilities: [ESS]"," level: -78"," frequency: 2437"," timestamp: 17817435488"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-FREEMM"," BSSID: 0a:08:d2:e0:44:3b"," capabilities: [ESS]"," level: -79"," frequency: 2437"," timestamp: 17817435546"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: YANG"," BSSID: 5e:e0:10:52:83:44"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -55"," frequency: 2462"," timestamp: 17817435284"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: WLAN-CQUPT"," BSSID: ac:67:06:5a:14:b9"," capabilities: [ESS]"," level: -77"," frequency: 2437"," timestamp: 17817435477"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-EDU"," BSSID: 06:08:d2:e0:4b:a0"," capabilities: [ESS]"," level: -80"," frequency: 2412"," timestamp: 17817435520"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-FREEMM"," BSSID: 0a:08:d2:e0:4b:a0"," capabilities: [ESS]"," level: -79"," frequency: 2412"," timestamp: 17817435505"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: chinacmcc"," BSSID: d0:df:9a:75:ad:24"," capabilities: [WPA2-PSK-CCMP][ESS]"," level: -67"," frequency: 2457"," timestamp: 17817435363"," distance: ?(cm)"," distanceSd: ?(cm)",
"SSID: CMCC-EDU"," BSSID: 06:08:d2:e0:47:d8"," capabilities: [ESS]"," level: -75"," frequency: 2437"," timestamp: 17814415256"," distance: ?(cm)"," distanceSd: ?(cm)",
